Timestamps,Temperature_Bench1,Carbon Dioxide concentration_Bench1,Temperature_Ceiling1,is_anomaly,neg_log_anomaly_score
1542970115132,31.28,380.0,41.78,0.0,-10.817492608446013
1542970115132,31.28,380.0,41.78,0.0,-10.80432912790656
1542970115132,31.28,380.0,41.78,0.0,-10.836846048415259
1542970115132,31.28,380.0,41.78,0.0,-10.823678112270398
1542970115132,31.28,380.0,41.78,0.0,-10.836415370415972
1542970115132,31.28,380.0,41.78,0.0,-10.826902435109918
1542970115132,31.28,380.0,41.78,0.0,-10.841139371931037
1542970115132,31.28,380.0,41.78,0.0,-10.818015331352733
1542970115132,31.28,380.0,41.78,0.0,-10.834581718804976
1542970115132,31.28,380.0,41.78,0.0,-10.817172811566962
1542970115132,31.28,380.0,41.78,0.0,-10.825528897551397
1542970115132,31.28,380.0,41.78,0.0,-10.825766266506555
1542970115132,31.28,380.0,41.78,0.0,-10.821883063338168
1542970115132,31.28,380.0,41.78,0.0,-10.84262967667854
1542970115132,31.28,380.0,41.78,0.0,-10.804514975735607
1542970115132,31.28,380.0,41.78,0.0,-10.855579791861107
1542970115132,31.28,380.0,41.78,0.0,-10.808887891166703
1542970115132,31.28,380.0,41.78,0.0,-10.84464851013249
1542970115132,31.28,380.0,41.78,0.0,-10.811430343293994
1542970115132,31.28,380.0,41.78,0.0,-10.85199986432712
1542970115132,31.28,380.0,41.78,0.0,-10.79141336944372
1542970115132,31.28,380.0,41.78,0.0,-10.829453627301543
1542970115132,31.28,380.0,41.78,0.0,-10.805207744248742
1542970115132,31.28,380.0,41.78,0.0,-10.810642405535226
1542970115132,31.28,380.0,41.78,0.0,-10.832713317585599
1542970115132,31.28,380.0,41.78,0.0,-10.817640063402704
1542970115132,31.28,380.0,41.78,0.0,-10.808507719416058
1542970115132,31.28,380.0,41.78,0.0,-10.849746328439831
1542970115132,31.28,380.0,41.78,0.0,-10.832395851423936
1542970115132,31.28,380.0,41.78,0.0,-10.845906259925773
1542970115132,31.28,380.0,41.78,0.0,-10.823354835108262
1542970115132,31.28,380.0,41.78,0.0,-10.836402708574463
1542970115132,31.28,380.0,41.78,0.0,-10.850110218617369
1542970115132,31.28,380.0,41.78,0.0,-10.813912565151186
1542970115132,31.28,380.0,41.78,0.0,-10.7994776406629
1542970115132,31.28,380.0,41.78,0.0,-10.84427586670171
1542970115132,31.28,380.0,41.78,0.0,-10.835371093099187
1542970115132,31.28,380.0,41.78,0.0,-10.816935313639068
1542970115132,31.28,380.0,41.78,0.0,-10.835475445818693
1542970115132,31.28,380.0,41.78,0.0,-10.82458685624241
1542970115132,31.28,380.0,41.78,0.0,-10.832689361277383
1542970115132,31.28,380.0,41.78,0.0,-10.814620428322504
1542970115132,31.28,380.0,41.78,0.0,-10.83529605258096
1542970115132,31.28,380.0,41.78,0.0,-10.816743218125003
1542970115132,31.28,380.0,41.78,0.0,-10.81004848498179
1542970115132,31.28,380.0,41.78,0.0,-10.829080727894608
1542970115132,31.28,380.0,41.78,0.0,-10.82656339519449
1542970115132,31.28,380.0,41.78,0.0,-10.815729244838847
1542970115132,31.28,380.0,41.78,0.0,-10.836505587078308
1542970115132,31.28,380.0,41.78,0.0,-10.80554747673841
1542970115132,31.28,380.0,41.78,0.0,-10.847379757173835
1542970115132,31.28,380.0,41.78,0.0,-10.807270502590839
1542970115132,31.28,380.0,41.78,0.0,-10.804261407378704
1542970115132,31.28,380.0,41.78,0.0,-10.822899021980623
1542970115132,31.28,380.0,41.78,0.0,-10.817669573417584
1542970115132,31.28,380.0,41.78,0.0,-10.817732099287392
1542970115132,31.28,380.0,41.78,0.0,-10.823195497597428
1542970115132,31.28,380.0,41.78,0.0,-10.813063080344296
1542970115132,31.28,380.0,41.78,0.0,-10.811424503166863
1542970115132,31.28,380.0,41.78,0.0,-10.815540562863383
1542970115132,31.28,380.0,41.78,0.0,-10.808822495704126
1542970115132,31.28,380.0,41.78,0.0,-10.823212355442893
1542970115132,31.28,380.0,41.78,0.0,-10.811225146507033
1542970115132,31.28,380.0,41.78,0.0,-10.822507003836964
1542970115132,31.28,380.0,41.78,0.0,-10.840087026624262
1542970115132,31.28,380.0,41.78,0.0,-10.813938283398048
1542970115132,31.28,380.0,41.78,0.0,-10.818307855480938
1542970115132,31.28,380.0,41.78,0.0,-10.82438091237939
1542970115132,31.28,380.0,41.78,0.0,-10.836463498685552
1542970115132,31.28,380.0,41.78,0.0,-10.822593147584701
1542970115132,31.28,380.0,41.78,0.0,-10.83966540266602
1542970115132,31.28,380.0,41.78,0.0,-10.811710703089025
1542970115132,31.28,380.0,41.78,0.0,-10.82291931334236
1542970115132,31.28,380.0,41.78,0.0,-10.814959927791058
1542970115132,31.28,380.0,41.78,0.0,-10.820667257390186
1542970115132,31.28,380.0,41.78,0.0,-10.809386943280177
1542970115132,31.28,380.0,41.78,0.0,-10.812468113401183
1542970115132,31.28,380.0,41.78,0.0,-10.83408225038449
1542970115132,31.28,380.0,41.78,0.0,-10.828573442570669
1542970115132,31.28,380.0,41.78,0.0,-10.815694229263372
1542970115132,31.28,380.0,41.78,0.0,-10.816790140738876
1542970115132,31.28,380.0,41.78,0.0,-10.823775973991651
1542970115132,31.28,380.0,41.78,0.0,-10.82409706312908
1542970115132,31.28,380.0,41.78,0.0,-10.80547769868321
1542970115132,31.28,380.0,41.78,0.0,-10.822710467926564
1542970115132,31.28,380.0,41.78,0.0,-10.829740509010547
1542970115132,31.28,380.0,41.78,0.0,-10.793762078133774
1542970115132,31.28,380.0,41.78,0.0,-10.828418546354891
1542970115132,31.28,380.0,41.78,0.0,-10.810130638158297
1542970115132,31.28,380.0,41.78,0.0,-10.8129513772671
1542970116151,31.28,380.0,41.78,0.0,-10.817585258381918
